Question Type,Question,Option count,Options1,Options2,Options3,Options4,Answer,Category,Difficulty,Score,Tags,Answer Explanation,,,,,
objective,"P, Q, and R rent a storage unit. P stores 14 boxes for 10 months, Q stores 20 boxes for 7 months, and R stores 20 boxes for 4 months. If the rent for the storage unit is Rs 720, how much must R pay as their share of the rent?",4,Rs 140,Rs 150,Rs 160,Rs 180,3,Aptitude,medium,5,"Aptitude,Numbers","The rent share is based on the product of boxes stored and time period. Boxes × Months for each person: P: 14 × 10 = 140 Q: 20 × 7 = 140 R: 20 × 4 = 80 Rent sharing ratio: P : Q : R = 140 : 140 : 80 Dividing by 20 (GCD): = 7 : 7 : 4 Total parts: 7 + 7 + 4 = 18 R's share: R's share = (4/18) × 720 = (2/9) × 720 = 1,440/9 = Rs 160 Therefore, R must pay Rs 160 as their share of the rent.",,,,,
objective,"A and B together have Rs. 1,500. If 1/4th of A’s amount is equal to 2/4th of B’s, then how much amount A has?",4,"Rs. 2,000","Rs. 5,000","Rs. 1,500","Rs. 1,000",4,Aptitude,medium,5,"Aptitude,Numbers","A’s amount + B’s amount = 1500 ----(1) Also, 1/4 x A’s amount = 2/4 x B’s amount 1/2 x A’s amount = B’s amount Substituting in (1), 3/2 x A’s amount = 1500 A’s amount = 2/3 x 1500 A’s amount = Rs. 1000",,,,,
objective,Two numbers are 30% and 60% respectively more than a third number. The two numbers are in the ratio of:,4,13: 16,22 : 23,14: 13,16: 13,1,Aptitude,medium,5,"Aptitude,Numbers","GIVEN: Two numbers are 30% and 60% respectively more than a third number CONCEPT: Here the first and second number is to be calculated in terms of third number and then divided to get the ratio. CALCULATION: Let the third number be x, then number = x + 30% of x = 1.3x 2nd number = x + 60% of x 1.6x Required ratio = 1st number: number = 1.3x/1.6x Required ratio = 13:16",,,,,
objective,"A sum of money is divided among P,Q,R and S in the ratio 5:4:7:9 respectively.If the share of P is Rs.2300 more than that of Q, then what is R’s share?",4,Rs.20700,Rs.16000,Rs.16100,Rs.9200,3,Aptitude,medium,5,"Aptitude,Numbers","Given: Ratio of the share of P, Q, R, and S = 5:4:7:9 Let the common ratio be x So, P's share = 5x, Q's share = 4x, R's share = 7x, S's share = 9x Also, P's share = Q's share + 2300 To find: Total amount of R and S together Let's first find the value of x 5x = 4x + 2300 x = 2300 So, P's share = 5x = 5*2300 = Rs.11500 Q's share = 4x = 4*2300 = Rs.9200 R's share = 7x = 7*2300 = Rs.16100 S's share = 9x = 9*2300 = Rs.20700",,,,,
objective,"A school has students in the ratio 2 : 3 : 4 in the 9th, 10th, and 11th grades. If the school decides to increase the number of students in each grade by 25%, 30%, and 35%, respectively, what will be the new ratio of students in these grades?",4,25:54:39,25:39:54,14:13:27,26:13:54,2,Aptitude,medium,5,"Aptitude,Numbers","Let's represent the initial number of students in the 9th, 10th, and 11th grades as 2x, 3x, and 4x, respectively, where x is a positive integer. Increase of 25% in the 9th-grade students: New number of 9th-grade students = 2x + 0.25 * 2x = 2x + 0.5x = 2.5x Increase of 30% in the 10th-grade students: New number of 10th-grade students = 3x + 0.30 * 3x = 3x + 0.9x = 3.9x Increase of 35% in the 11th-grade students: New number of 11th-grade students = 4x + 0.35 * 4x = 4x + 1.4x = 5.4x Now, let's find the ratio of the increased students: The ratio of increased students in the 9th, 10th, and 11th grades is 2.5x : 3.9x : 5.4x. We can simplify this ratio by dividing each term by the greatest common factor, which is x:",,,,,
objective,"5x : 3.9x : 5.4x = 2.5 : 3.9 : 5.4 To make the ratio more straightforward, we can scale it up by multiplying all terms by a common factor to eliminate decimals. Let's multiply by 10 to get whole numbers: (2.5 * 10) : (3.9 * 10) : (5.4 * 10) = 25 : 39 : 54 So, the new ratio of students in the 9th, 10th, and 11th grades after the increase is 25 : 39 : 54.",0,,,,,1,Aptitude,medium,5,"Aptitude,Numbers",,,,,,
objective,"In 25 litres of fruit juice, the ratio of apple and orange is 2 : 3. What amount of orange should be added to the mixed juice so that the ratio of apple and orange becomes 1: 2?",4,10 litres,8 litres,12 litres,5 litres,4,Aptitude,medium,5,"Aptitude,Numbers","Given:Mixed fruit juice is of 25 litres and the ratio of Apple and Orange is 2 : 3. Concept: In 25 litres of mixed juice, Apple = (2/5) x 25 = 10 liters; orange = (3/5) x 25 = 15 liters Calculation: Let x amount of orange should be added in the juice. ∴{10/(15+x)}=1/2 2(10) = 1(15 + x) 20 = 15 + x x = 5 liters",,,,,
objective,"The sum of three numbers is 136. If the ratio of the first to the second is 2:3 and the ratio of the second to the third is 5:3, what is the second number?",4,48,60,40,52,2,Aptitude,medium,5,"Aptitude,Numbers","Given: Sum of 3 numbers = 136 First number: Second number = 2: 3 Second number : Third number = 5 : 3 Concept used: If the ratio of A: B and B : C is given Then, to find ratio of A: B : C To make ratio of B equal we have to apply the formula below. A: B1 and B2 : C A: B : C = A x B2: B1 x B2: B2 x C Calculation: Let the first, second and third numbers be A,B and C respectively. A+ B + C = 136 A:B =2:3 B:C= 5:3 A:B:C= 10:15:9 A + B + C = lOx + 15x+ 9x A + B + C = 34x 34x = 136 x = 4 B = 15x B = 60 ∴The second number is 60.",,,,,
objective,"If $529 be divided into three parts, proportional to 1/2:2/3:3/4, then what is the value of the third part?",4,138,184,207,217,3,Aptitude,medium,5,"Aptitude,Numbers","The given ratio is 1/2 : 2/3 : 3/4 Take LCM of denominators (2, 3, 4) = 12 Convert the ratio into whole numbers: (1/2) × 12 = 6 (2/3) × 12 = 8 (3/4) × 12 = 9 So, the ratio becomes: 6 : 8 : 9 Sum of the ratio parts = 6 + 8 + 9 = 23 Total value = 529 Value of one part = 529 / 23 = 23 Third part = 9 × 23 = 207 Answer: 207",,,,,
objective,"Two numbers are in the ratio of 4: 7. If 12 is subtracted from each, then the new ratio becomes 14 : 29. The smaller number is:",4,70,40,140,None of the above,2,Aptitude,medium,5,"Aptitude,Numbers","Let the two number be a and b respectively. Given, Two numbers are in the ratio of 4 : 7. a:b=4:7 a/b = 4/ 7 a = 4b/7 Given, If 12 be subtracted from each, then the new ratio becomes 14: 29. (a- 12):(b- 12)= 14:29 (a - 12)/(b - 12) = 14/29 (4b/7 - 12)/(b - 12) = 14/29 (4h - 84)/7(b -12) = 14/29 (4h-84) x 29 = 14 x 7(b - 12) 4(b -21) x 29 = 98(b -12) 58(b -21) = 49(b - 12) 58b - 1218 = 49b -588 9b= 630 b = 70 a = (4 X 70)/17 a = 40 The two numbers are 40 and 70 respectively.",,,,,
objective,"In a bag, the number of Rs 10 notes, Rs 20 notes and Rs 50 notes are in the ratio 5:4:3. the total value of the notes in it is Rs 560. find the number of Rs. 10 notes in it.",4,4,10,6,5,2,Aptitude,medium,5,"Aptitude,Numbers",Let the number of Rs 10 notes be 5x. Numbers of Rs 20 notes ad Rs 50 notes are 4x and 3x respectively. Total value of notes (10)(5x)+(20)(4x)+(50)(3x)=280x=560 x=2 5x=10,,,,,
objective,"If Rs. 56,000 is to be divided in four boys A, B, C and D in such a way that the ratio of amount of A: B, B : C and C: D are 4 : 3, 1: 3 and 3 : 4 respectively then Find the sum of (A and C) and (B and C)",4,"Rs. 22000,Rs.24000","Rs. 26000,Rs.24000","Rs. 20000,Rs.26000","Rs. 22500,Rs.24000",2,Aptitude,medium,5,"Aptitude,Numbers","Given: Total amount = Rs. 56000 And A: B = 4: 3, B : C = 1: 3, C: D = 3 : 4 Calculation: According to question, A/B=4/3,B/C=1/3,C/D=3/4 A/B=4/3*1/1,B/C=⅓*3/3,C/D=¾*3/3 A/B=4/3,B/C=3/9,C/D=9/12 So, A: B : C: D = 4: 3 : 9: 12 Let the ratio be x So, the amount received by A = 4x The amount received by B = 3x The amount received by C = 9x And the amount received by D = 12x So, according to question, 4x + 3x + 9x + 12x = 56000 28x = 56000 x = 2000 So, the amount received by A = 4x2000 = Rs. 8000 the amount received by B = 3 x 2000 = Rs. 6000 And the amount received by C = 9 x 2000 = Rs. 18000 So, the total amount received by A and C together = 8000 + 18000 = Rs.26000 the total amount received by B and C together = 6000 + 18000 = Rs.24000.",,,,,
objective,"A diamond is broken into three parts in the ratio 1: 2: 3. The price of a diamond is directly proportional to the square of its weight. If after breaking the diamond, the loss is of Rs 39600 in the price, then find the price of the diamond before breaking it.",4,Rs. 64800,Rs. 57420,Rs. 74250,Rs. 47520,1,Aptitude,medium,5,"Aptitude,Numbers","Given: A diamond is broken into three parts in the ratio 1: 2 : 3 Loss after broken = Rs. 39600 Concept: In this type of questions we can calculate the actual weight of diamond by adding all the ratios. Calculation: Let the weight of 3 parts be x, 2x, and 3x So actual weight of diamond = x + 2x + 3x = 6x According to question The price of diamond is in proportion to square of its weight The price of diamond before broken = (6x)^2 = 36x^2 The price of diamond after broken = x^2 + (2x)^2 + (3x)^2 x^2 + 4x + 9x^2 = 14x^2 Loss after broken = 36x^2—14x^2 39600 = 22x^2 x^2= 1800 The price of diamond before broken = 36x^2 = 36 x 1800 64800 :. The price of diamond before broken is Rs. 64800.",,,,,
objective,"The annual incomes of A and B are in the ratio 3 : 4 and their annual expenditures are in the ratio 5 : 7. If each saves Rs. 5, 000 then, find their annual incomes.",0,,,,,1,Aptitude,medium,5,"Aptitude,Numbers","Let the annual incomes of A and B be 3x and 4x And the annual expenditures of A and B be 5y and 7y Since each of them saves Rs5000. 3x−5y=5000 ----- (1) 4x−7y=5000 ---- (2) Multiplying equation (1) with 4 we get, 12x−20y=20000 ----- equation (3) Multiplying equation (2) with 3 we get, 12x−21y=15000 ----- equation (4) Subtracting equation (4) from (3), we get y=5000 Substituting y=5000 in the equation (1), we get 3x−5(5000)=5000=x=10000 Hence,, annual income of A =3x= Rs 30000 and of B =4x= Rs 40000.",,,,,
objective,"A person distributes his pens among four friends A, B, C and D in the ratio 1/3 : 1/4 : 1/5 : 1/6. What is the minimum number of pens that the person should have ?",4,75,45,57,65,3,Aptitude,medium,5,"Aptitude,Numbers","Description for Correct answer: The ratio among A, B, C and D = 13:14:15:16 On rearranging the ratio 603:604:605:606=20:15:12:10 So, the minimum number of pens can be when the common ratio is 1. So, minimum number of pen =20+15+12+10=57 .",,,,,
objective,"By selling 12 oranges for Rs. 60, a man losses 25%. The number of oranges he has to sell for Rs. 100, so as to gain 25% is",4,10,11,12,15,3,Aptitude,medium,5,"Aptitude,Numbers","Description for Correct answer: According to question, SP of 12 oranges is = Rs. 60 Loss = 25% CP of 12 oranges is = 60×(100/75)=80 to gain 25% SP = 80+(25/100)×80 = Rs. 100 12 oranges sell for Rs. 100 to gain 25% = 12 Oranges",,,,,
objective,"The ratio of the present ages of Anjali and Ashu is 2:3, five years hence, the ratio of their ages will be 3:4. Find Anjali’s present age?",4,10,15,20,25,1,Aptitude,medium,5,"Aptitude,Numbers","Ratio of the present ages of Anjali and Ashu is =2:3 Let age of Anjali =2x and age of Ashu =3x 5 years hence, Age of Anjali =2x+5 and age of Ashu =3x+5 3x+52x+5​=43​ 9x+15=8x+2 9x−8x=20−15 Present ages of Anjali =2x=2×5=10 years and age of Ashu =3x=3×5=15 years.",,,,,
objective,A man covers the first half of the journey at the speed of 60kmph and the remaining at the speed of 100kmph. Find his average speed?,4,42km/hr,48km/hr,75km/hr,54km/hr,3,Aptitude,medium,5,"Aptitude,Numbers","Let's assume that the total distance of the journey is 'd' km. The first half of the journey would then be 'd/2' km. Time taken to cover the first half of the journey, t1 = (d/2) km ÷ 60 kmph = (d/120) hours. Time taken to cover the second half of the journey, t2 = (d/2) km ÷ 100 kmph = (d/200) hours. Therefore, the total time taken to complete the journey, t = t1 + t2 = (d/120) + (d/200) = (5d/600) + (3d/600) = (8d/600) = (d/75) hours. Average speed = Total distance ÷ Total time = d km ÷ (d/75) hours = 75 kmph. Therefore, the man's average speed for the entire journey is 75 kmph.",,,,,
objective,Karthik travels 24 km at a speed of 8 kmph and then another 48 km at a speed of 16 kmph. What is his average speed for the entire journey?,4,10 kmph,11 kmph,12 kmph,14 kmph,3,Aptitude,medium,5,"Aptitude,Numbers","Total Distance: = 24 km + 48 km = 72 km Time taken to cover the first 24 km: = Distance / Speed = 24 / 8 = 3 hours Time taken to cover the next 48 km: = Distance / Speed = 48 / 16 = 3 hours Total Time: = 3 + 3 = 6 hours Average Speed: = Total Distance / Total Time = 72 / 6 = 12 kmph Therefore, Karthik's average speed for the entire journey is 12 kmph.",,,,,
objective,"A car travels a total distance of 800 km. It covers the first 200 km at a speed of 40 km/hr, the next 200 km at 75 km/hr, the third 200 km at 150 km/hr, and the final 200 km at 200 km/hr. What is the average speed of the car?",4,70 km/hr,72 km/hr,80 km/hr,90 km/hr,3,Aptitude,medium,5,"Aptitude,Numbers","Total distance = 800 km Time for first 200 km at 40 km/hr: = 200 / 40 = 5 hours Time for next 200 km at 75 km/hr: = 200 / 75 = 8/3 hours Time for third 200 km at 150 km/hr: = 200 / 150 = 4/3 hours Time for last 200 km at 200 km/hr: = 200 / 200 = 1 hour Total time taken: = 5 + 8/3 + 4/3 + 1 = 5 + (8/3 + 4/3) + 1 = 5 + 12/3 + 1 = 5 + 4 + 1 = 10 hours Average speed = Total distance / Total time = 800 / 10 = 80 km/hr Therefore, the average speed of the car is 80 km/hr.",,,,,
objective,"A woman completes a journey in 8 hours. She travels the first half of the journey at the rate of 20 km/hr, and the second half at the rate of 30 km/hr. Find the total journey in km.",4,200 km,210 km,192 km,196 km,3,Aptitude,medium,5,"Aptitude,Numbers","Let us assume that the total journey is ""d"" km. The woman traveled the first half of the journey at the rate of 20 km/hr. Therefore, she would have covered half the distance in time = (1/2d) / 20 = (1/40)d hours. Similarly, she traveled the second half of the journey at the rate of 30 km/hr. Therefore, she would have covered the other half of the distance in time = (1/2d) / 30 = (1/60)d hours. The total time taken for the journey is given as 8 hours. Thus, we can write the equation: (1/40)d + (1/60)d = 8 Simplifying this equation, we get: (3/120)d + (2/120)d = 8 (5/120)d = 8 Now, to find d, we can multiply both sides by (120/5): d = (120/5) × 8 d = 24 × 8 d = 192 km Therefore, the total journey is 192 km.",,,,,
objective,A bus traveling between two towns arrives at its destination 20 minutes late when it goes at 30 kmph and 8 minutes late when it goes at 50 kmph. Determine the distance between the two towns.,4,10 km,12 km,15 km,20 km,3,Aptitude,medium,5,"Aptitude,Numbers","Let the distance between the two towns be D km. When the bus goes at 30 kmph: Time taken = D/30 hours When the bus goes at 50 kmph: Time taken = D/50 hours Difference in late times: = 20 minutes - 8 minutes = 12 minutes Convert 12 minutes to hours: 12 minutes = 12/60 = 1/5 hour The difference in travel times equals the difference in late times: D/30 - D/50 = 1/5 Taking LCM of 30 and 50 = 150: (5D - 3D)/150 = 1/5 2D/150 = 1/5 D/75 = 1/5 D = 75 × 1/5 D = 15 km Therefore, the distance between the two towns is 15 km.",,,,,
objective,"Walking at 3/5 of her usual rate, a woman reaches the park 12 minutes late. Find her usual time taken to reach the park.",4,30 minutes,36 minutes,18 minutes,45 minutes,3,Aptitude,medium,5,"Aptitude,Numbers","Since the woman now walks at 3/5 of her usual speed, she will take 5/3 of her usual time. Extra time = (5/3 - 1) x Usual time = 12 minutes (known) (2/3) x Usual time = 12 Usual time = (3/2) x 12 = 18 minutes Therefore, her usual time taken to reach the park is 18 minutes.",,,,,
objective,"A car travels a distance of 240 km in 5 hours, partly at a speed of 60 km/h and partly at a speed of 40 km/h. Find the time it traveled at 60 km/h.",4,2 hours,3 hours,4 hours,2.5 hours,1,Aptitude,medium,5,"Aptitude,Numbers","Let the time the car traveled at 60 km/h be x hours. Then, the time it traveled at 40 km/h is (5 - x) hours. So, (60x + 40(5 - x)) = 240 ⇒ 60x + 200 - 40x = 240 ⇒ 20x + 200 = 240 ⇒ 20x = 240 - 200 ⇒ 20x = 40 ⇒ x = 40/20 ⇒ x = 2 Therefore, the car traveled at 60 km/h for 2 hours.",,,,,
objective,"In covering a distance of 60 km, Manoj takes 1 hour more than Ritu. If Manoj doubles his speed, then he would take 1 hour less than Ritu. What is Manoj's speed?",4,10 kmph,12 kmph,18 kmph,15 kmph,4,Aptitude,medium,5,"Aptitude,Numbers","Let Manoj's speed be x kmph and Ritu's speed be y kmph. Time calculations: Time taken by Manoj = 60/x hours Time taken by Ritu = 60/y hours From the first condition: Manoj takes 1 hour more than Ritu: 60/x = 60/y + 1 ...(1) From the second condition: If Manoj doubles his speed, his new speed = 2x kmph, and he then takes 1 hour less than Ritu: 60/(2x) = 60/y - 1 ...(2) Rewrite the equations: Equation (1): 60/x - 60/y = 1 Equation (2): 30/x - 60/y = -1 Subtract equation (2) from equation (1): (60/x - 30/x) + (-60/y + 60/y) = 1 - (-1) 30/x = 2 Solve for x: 30/x = 2 x = 30/2 x = 15 kmph Therefore, Manoj's speed is 15 kmph.",,,,,
objective,"In a journey between Chennai and Delhi, it took 3 hours more when I traveled at 60 kmph than at 90 kmph. What is the distance between Chennai and Delhi?",4,450 km,540 km,600 km,720 km,2,Aptitude,medium,5,"Aptitude,Numbers","Let the distance between Chennai and Delhi be D km. Time calculations: Time taken at 60 kmph = D/60 hours Time taken at 90 kmph = D/90 hours Given that the journey at 60 kmph takes 3 hours more than at 90 kmph: D/60 - D/90 = 3 Find LCM of 60 and 90, which is 180: Converting to common denominator: D/60 = 3D/180 D/90 = 2D/180 Therefore: (3D - 2D)/180 = 3 D/180 = 3 D = 3 × 180 D = 540 km Therefore, the distance between Chennai and Delhi is 540 km.",,,,,
objective,A woman takes 5 hours to walk to a certain place and cycle back. She would have taken 3 hours less if she had cycled both ways. What time would she take to walk both ways?,4,6 hours,7 hours,8 hours,9 hours,3,Aptitude,medium,5,"Aptitude,Numbers","Let the time taken to cycle one way be x hours. Then: Time to walk one way = 5 - x hours (since walking one way + cycling back = 5 hours) Cycling both ways would take: Time = 2x hours Given that cycling both ways takes 3 hours less than walking one way and cycling back: 2x = 5 - 3 2x = 2 x = 1 hour Therefore: Time to walk one way = 5 - x = 5 - 1 = 4 hours Time to walk both ways: = 2 × 4 = 8 hours Therefore, the time she would take to walk both ways is 8 hours.",,,,,
objective,"A motorcyclist travels a certain distance in 4 hours at a uniform speed. In return, he increases his speed by 3 kmph and covers the same distance in 3 hours. What was his speed initially?",4,8 km/hr,12 km/hr,10 km/hr,9 km/hr,4,Aptitude,medium,5,"Aptitude,Numbers","Let the initial speed of the motorcyclist be x kmph. Distance covered at speed x in 4 hours = 4x Distance covered at speed (x+3) kmph in 3 hours = 3(x+3) As both distances are the same, we can equate them: 4x = 3(x+3) Solving for x: 4x = 3x + 9 x = 9 Therefore, the initial speed of the motorcyclist was 9 kmph.",,,,,
